Province_State,Country_Region,Lat,Long_,Confirmed,Deaths,Recovered,Active,Population,Incident_Rate,Case_Fatality_Ratio
,Lesotho,-29.61,28.2336,10706,315,4471.0,5920.0,2142252.0,499.7544639939652,2.9422753596114326
,Liberia,6.4280550000000005,-9.429499,2053,85,1899.0,69.0,5057677.0,40.59175783665109,4.140282513395031
,Libya,26.3351,17.228331,158957,2667,147147.0,9143.0,6871287.0,2313.35119607142,1.677812238529917
,Liechtenstein,47.14,9.55,2753,56,2568.0,129.0,38137.0,7218.711487531793,2.0341445695604796
,Lithuania,55.1694,23.8813,216119,3574,199023.0,13522.0,2722291.0,7938.864728274825,1.6537185532044845
,Luxembourg,49.8153,6.1296,61642,746,57092.0,3804.0,625976.0,9847.342390123582,1.210213815255832
,Madagascar,-18.766947,46.869107,24426,418,21908.0,2100.0,27691019.0,88.20910490870705,1.7112912470318515
,Malawi,-13.2543,34.3015,33551,1117,30272.0,2162.0,19129955.0,175.38462583942302,3.3292599326398618
,Maldives,3.2028,73.2207,24079,67,21155.0,2857.0,540542.0,4454.6029725719745,0.2782507579218406
,Mali,17.570692,-3.996166000000001,10042,385,6830.0,2827.0,20250834.0,49.588081162484464,3.8338976299541923
,Malta,35.9375,14.3754,29033,392,27812.0,829.0,441539.0,6575.410099674095,1.3501877174249992
,Marshall Islands,7.1315,171.1845,4,0,4.0,0.0,58413.0,6.8477907315152455,0.0
,Mauritania,21.0079,-10.9408,17847,449,17093.0,305.0,4649660.0,383.83451693242085,2.5158289908668126
,Mauritius,-20.348404,57.552152,1028,12,643.0,373.0,1271767.0,80.83241662977574,1.1673151750972763
,Micronesia,7.4256,150.5508,1,0,1.0,0.0,113815.0,0.8786188112287484,0.0
,Moldova,47.4116,28.3699,230241,4960,207852.0,17429.0,4033963.0,5707.56350516849,2.1542644446471306
,Monaco,43.7333,7.4167,2288,28,2115.0,145.0,39244.0,5830.190602385078,1.2237762237762237
,Montenegro,42.708678000000006,19.37439,91218,1274,83498.0,6446.0,628061.9999999999,14523.725364693297,1.396654169133285
,Morocco,31.7917,-7.0926,496097,8818,483363.0,3916.0,36910558.0,1344.051748012046,1.7774749696127974
,Mozambique,-18.665695,35.529562,67579,775,56409.0,10395.0,31255435.0,216.2151958531372,1.146805960431495
,Namibia,-22.9576,18.4904,44139,523,41848.0,1768.0,2540916.0000000005,1737.129444656966,1.1848931783683365
,Nepal,28.1667,84.25,277309,3030,272786.0,1493.0,29136807.999999996,951.7480432310911,1.0926439459231398
,New Zealand,-40.9006,174.886,2501,26,2408.0,67.0,4822233.0,51.863939382439625,1.0395841663334666
,Nicaragua,12.865416,-85.207229,6677,178,4225.0,2274.0,6624554.0,100.7916910330869,2.6658679047476412
,Niger,17.607789,8.081666,5001,186,4590.0,225.0,24206636.000000007,20.65962407994237,3.719256148770246
,Nigeria,9.082,8.6753,162891,2057,151648.0,9186.0,206139587.0,79.01975664674248,1.2628076443756868
,North Macedonia,41.6086,21.7453,130022,3781,106979.0,19262.0,2083379.9999999998,6240.9162034770425,2.907969420559598
,Norway,60.472,8.4689,96079,673,17998.0,77408.0,5421242.0,1772.2691589860774,0.7004652421444854
,Oman,21.512583,55.92325500000001,159218,1678,143966.0,13574.0,5106622.0,3117.8732242174965,1.0539009408483966
,Panama,8.538,-80.7821,355051,6114,343904.0,5033.0,4314768.0,8228.739065460763,1.7220061343299977
,Papua New Guinea,-6.314993,143.95555,5991,60,846.0,5085.0,8947027.0,66.96079043910339,1.0015022533800702
,Paraguay,-23.4425,-58.4438,214667,4206,175614.0,34847.0,7132530.0,3009.6894089474563,1.9593137277737145
,Philippines,12.879721,121.774017,747288,13297,603746.0,130245.0,109581085.0,681.9498091299242,1.7793675263084645
,Poland,51.9194,19.1451,2321717,53045,1861925.0,406747.0,37846605.0,6134.544961166265,2.284731515512011
,Portugal,39.3999,-8.2245,821722,16848,778210.0,26664.0,10196707.0,8058.699735120368,2.05032845658264
,Qatar,25.3548,51.1839,179964,291,164121.0,15552.0,2881060.0,6246.450959022026,0.16169900646796026
,Romania,45.9432,24.9668,952803,23538,850672.0,78593.0,19237682.0,4952.795248408826,2.4703952443474675
,Rwanda,-1.9403,29.8739,21783,307,20182.0,1294.0,12952209.0,168.17980624000123,1.4093559197539365
,Saint Kitts and Nevis,17.357822,-62.782998,44,0,43.0,1.0,53192.0,82.7192058956234,0.0
,Saint Lucia,13.9094,-60.9789,4238,60,4142.0,36.0,183629.0,2307.914327257677,1.4157621519584709
,Saint Vincent and the Grenadines,12.9843,-61.2872,1748,10,1587.0,151.0,110947.0,1575.5270534579574,0.5720823798627002
,Samoa,-13.759,-172.1046,3,0,2.0,1.0,196130.0,1.5295977158007446,0.0
,San Marino,43.9424,12.4578,4732,84,4128.0,520.0,33938.0,13943.0726619129,1.7751479289940828
,Sao Tome and Principe,0.1864,6.6131,2223,34,2092.0,97.0,219160.99999999997,1014.32280378352,1.5294646873594242
,Saudi Arabia,23.885942,45.079162,390007,6669,378083.0,5255.0,34813867.0,1120.263370914814,1.7099693082431853
,Senegal,14.4974,-14.4524,38705,1051,37321.0,333.0,16743930.000000002,231.1583959082485,2.7154114455496705
,Serbia,44.0165,21.0059,600596,5308,0.0,595288.0,8737370.0,6873.876235068447,0.8837887698219767
,Seychelles,-4.6796,55.492,4114,20,3745.0,349.0,98339.99999999999,4183.445190156601,0.48614487117160915
,Sierra Leone,8.460555000000001,-11.779889,3980,79,2812.0,1089.0,7976984.999999999,49.89353747061077,1.984924623115578
,Slovakia,48.669,19.699,707876,9719,255300.0,442857.0,5459643.0,12965.6096561625,1.3729805785194016
,Slovenia,46.1512,14.9955,215602,4047,198524.0,13031.0,2078932.0,10370.805779121203,1.8770697859945642
,Solomon Islands,-9.6457,160.1562,19,0,18.0,1.0,652858.0,2.9102806429575803,0.0
,Somalia,5.152149,46.199616,11398,529,4819.0,6050.0,15893218.999999998,71.71611993769167,4.641165116687138
,South Africa,-30.5595,22.9375,1548157,52846,1474319.0,20992.0,59308690.0,2610.337540754989,3.4134780904003925
,South Korea,35.90775700000001,127.766922,103639,1735,95439.0,6465.0,51269183.0,202.14677499346928,1.674080220766314
,South Sudan,6.877000000000002,31.307,10165,109,9668.0,388.0,11193729.0,90.80977393681766,1.072306935563207
,Sri Lanka,7.873054,80.77179699999998,92706,568,89251.0,2887.0,21413250.0,432.93755034849914,0.6126895778051044
,Sudan,12.8628,30.2176,31833,2063,24214.0,5556.0,43849269.0,72.59642116268803,6.4806961329438
,Suriname,3.9193,-56.0278,9122,177,8598.0,347.0,586634.0,1554.972947357296,1.9403639552729663
,Switzerland,46.8182,8.2275,601124,10297,317600.0,273227.0,8654618.0,6945.702282873721,1.712957725860222
,Syria,34.802075,38.99681500000001,18909,1265,12731.0,4913.0,17500657.0,108.04737216437074,6.689936009307737
,Taiwan*,23.7,121.0,1030,10,981.0,39.0,23816775.0,4.324682917817379,0.9708737864077669
,Tajikistan,38.861,71.2761,13714,91,13218.0,405.0,9537642.0,143.7881606376083,0.6635554907393904
,Tanzania,-6.369028,34.888822,509,21,183.0,305.0,59734213.0,0.852107987092757,4.12573673870334
,Thailand,15.870032,100.992541,28863,94,26873.0,1896.0,69799978.0,41.351015898601,0.32567647160724805
,Timor-Leste,-8.874217,125.727539,604,0,189.0,415.0,1318442.0,45.81164738380604,0.0
,Togo,8.6195,0.8248,10249,109,7815.0,2325.0,8278737.0,123.7990770814437,1.0635183920382476
,Trinidad and Tobago,10.6918,-61.2225,8026,142,7615.0,269.0,1399491.0,573.494220398702,1.7692499377024669
,Tunisia,33.886917,9.537499,254018,8812,217293.0,27913.0,11818618.0,2149.303751081556,3.4690455007125482
,Turkey,38.9637,35.2433,3317182,31537,3014226.0,271419.0,84339067.0,3933.1499837435954,0.9507166022244181
,Uganda,1.373333,32.290275,40867,335,40449.0,83.0,45741000.0,89.34435189436174,0.8197323023466367
,United Arab Emirates,23.424076,53.847818,461444,1497,445355.0,14592.0,9890400.0,4665.5746986977265,0.32441639722263155
,Uruguay,-32.5228,-55.7658,105549,974,83380.0,21195.0,3473726.9999999995,3038.494389455476,0.9227941524789434
,Uzbekistan,41.377491,64.585262,82869,629,80983.0,1257.0,33469199.000000004,247.59779880002506,0.75902931132269
,Vanuatu,-15.3767,166.9592,3,0,1.0,2.0,292679.99999999994,1.0250102501025011,0.0
,Venezuela,6.4238,-66.5897,160497,1602,147846.0,11049.0,28435943.0,564.4159576490922,0.9981494981214601
,Vietnam,14.058324,108.277199,2603,35,2359.0,209.0,97338583.0,2.674170837272205,1.3446023818670765
,West Bank and Gaza,31.9522,35.2332,242353,2627,215429.0,24297.0,5101415.999999999,4750.70058979703,1.0839560475834837
,Yemen,15.552727,48.516388,4357,888,1676.0,1793.0,29825968.0,14.608075754657822,20.38099609823273
,Zambia,-13.133897,27.849332,88418,1208,84592.0,2618.0,18383955.999999996,480.95197790943377,1.366237643918659
,Zimbabwe,-19.015438,29.154857,36882,1523,34686.0,673.0,14862927.0,248.147622604888,4.12938560815574
Abruzzo,Italy,42.35122196,13.39843823,65237,2136,52969.0,10132.0,1311579.9999999998,4973.924579514784,3.2742155525238745
Acre,Brazil,-9.0238,-70.812,69657,1262,54045.0,14350.0,881935.0,7898.2011145946135,1.8117346426059118
Adygea Republic,Russia,44.6939006,40.1520421,14101,163,13365.0,573.0,453376.0,3110.2219791078487,1.1559463867810793
Aguascalientes,Mexico,21.8853,-102.2916,24880,2154,0.0,22726.0,1434635.0,1734.2390224691298,8.657556270096462
Aichi,Japan,35.035551,137.211621,27394,583,25985.0,826.0,7552239.0,362.726868151286,2.1282032561874864
Akita,Japan,39.748679,140.408228,283,6,271.0,6.0,966490.0,29.281213463150163,2.1201413427561837
